variable,areaName,Borough,areaType,value
2010-01-01,All Downtown,Manhattan,submarket,2916
2010-01-01,All Midtown,Manhattan,submarket,2238
2010-01-01,All Upper East Side,Manhattan,submarket,2200
2010-01-01,All Upper Manhattan,Manhattan,submarket,1158
2010-01-01,All Upper West Side,Manhattan,submarket,1463
2010-01-01,Astoria,Queens,neighborhood,142
2010-01-01,Auburndale,Queens,neighborhood,6
2010-01-01,Bath Beach,Brooklyn,neighborhood,7
2010-01-01,Battery Park City,Manhattan,neighborhood,171
2010-01-01,Bay Ridge,Brooklyn,neighborhood,61
2010-01-01,Baychester,Bronx,neighborhood,0
2010-01-01,Bayside,Queens,neighborhood,31
2010-01-01,Bedford Park,Bronx,neighborhood,3
2010-01-01,Bedford-Stuyvesant,Brooklyn,neighborhood,157
2010-01-01,Bellerose,Queens,neighborhood,1
2010-01-01,Belmont,Bronx,neighborhood,1
2010-01-01,Bensonhurst,Brooklyn,neighborhood,5
2010-01-01,Bergen Beach,Brooklyn,neighborhood,10
2010-01-01,Boerum Hill,Brooklyn,neighborhood,41
2010-01-01,Borough Park,Brooklyn,neighborhood,2
2010-01-01,Briarwood,Queens,neighborhood,12
2010-01-01,Brighton Beach,Brooklyn,neighborhood,29
2010-01-01,Bronx,Bronx,borough,575
2010-01-01,Bronxwood,Bronx,neighborhood,3
2010-01-01,Brooklyn,Brooklyn,borough,3183
2010-01-01,Brooklyn Heights,Brooklyn,neighborhood,213
2010-01-01,Brookville,Queens,neighborhood,2
2010-01-01,Brownsville,Brooklyn,neighborhood,3
2010-01-01,Bushwick,Brooklyn,neighborhood,57
2010-01-01,Cambria Heights,Queens,neighborhood,2
2010-01-01,Canarsie,Brooklyn,neighborhood,28
2010-01-01,Carroll Gardens,Brooklyn,neighborhood,67
2010-01-01,Castle Hill,Bronx,neighborhood,2
2010-01-01,Central Harlem,Manhattan,neighborhood,612
2010-01-01,Central Park South,Manhattan,neighborhood,121
2010-01-01,Central Queens,Queens,submarket,211
2010-01-01,Chelsea,Manhattan,neighborhood,501
2010-01-01,Chinatown,Manhattan,neighborhood,11
2010-01-01,City Island,Bronx,neighborhood,4
2010-01-01,Civic Center,Manhattan,neighborhood,13
2010-01-01,Clearview,Queens,neighborhood,3
2010-01-01,Clinton Hill,Brooklyn,neighborhood,114
2010-01-01,Co-op City,Bronx,neighborhood,0
2010-01-01,Cobble Hill,Brooklyn,neighborhood,41
2010-01-01,College Point,Queens,neighborhood,10
2010-01-01,Columbia St Waterfront District,Brooklyn,neighborhood,13
2010-01-01,Concourse,Bronx,neighborhood,30
2010-01-01,Coney Island,Brooklyn,neighborhood,7
2010-01-01,Corona,Queens,neighborhood,6
2010-01-01,Country Club,Bronx,neighborhood,2
2010-01-01,Crotona Park East,Bronx,neighborhood,1
2010-01-01,Crown Heights,Brooklyn,neighborhood,192
2010-01-01,DUMBO,Brooklyn,neighborhood,60
2010-01-01,Ditmas Park,Brooklyn,neighborhood,65
2010-01-01,Douglaston,Queens,neighborhood,11
2010-01-01,Downtown Brooklyn,Brooklyn,neighborhood,164
2010-01-01,Dyker Heights,Brooklyn,neighborhood,10
2010-01-01,East Brooklyn,Brooklyn,submarket,453
2010-01-01,East Elmhurst,Queens,neighborhood,6
2010-01-01,East Flatbush,Brooklyn,neighborhood,40
2010-01-01,East Harlem,Manhattan,neighborhood,77
2010-01-01,East New York,Brooklyn,neighborhood,44
2010-01-01,East Tremont,Bronx,neighborhood,6
2010-01-01,East Village,Manhattan,neighborhood,157
2010-01-01,Eastchester,Bronx,neighborhood,0
2010-01-01,Edenwald,Bronx,neighborhood,0
2010-01-01,Elmhurst,Queens,neighborhood,4
2010-01-01,Financial District,Manhattan,neighborhood,414
2010-01-01,Flatbush,Brooklyn,neighborhood,36
2010-01-01,Flatiron,Manhattan,neighborhood,258
2010-01-01,Flatlands,Brooklyn,neighborhood,3
2010-01-01,Floral Park,Queens,neighborhood,0
2010-01-01,Flushing,Queens,neighborhood,90
2010-01-01,Fordham,Bronx,neighborhood,1
2010-01-01,Forest Hills,Queens,neighborhood,55
2010-01-01,Fort Greene,Brooklyn,neighborhood,151
2010-01-01,Fresh Meadows,Queens,neighborhood,2
2010-01-01,Gerritsen Beach,Brooklyn,neighborhood,0
2010-01-01,Glen Oaks,Queens,neighborhood,4
2010-01-01,Glendale,Queens,neighborhood,4
2010-01-01,Gowanus,Brooklyn,neighborhood,139
2010-01-01,Gramercy Park,Manhattan,neighborhood,168
2010-01-01,Gravesend,Brooklyn,neighborhood,31
2010-01-01,Greenpoint,Brooklyn,neighborhood,93
2010-01-01,Greenwich Village,Manhattan,neighborhood,330
2010-01-01,Greenwood,Brooklyn,neighborhood,52
2010-01-01,Hamilton Heights,Manhattan,neighborhood,120
2010-01-01,Highbridge,Bronx,neighborhood,3
2010-01-01,Hillcrest,Queens,neighborhood,3
2010-01-01,Hollis,Queens,neighborhood,0
2010-01-01,Howard Beach,Queens,neighborhood,6
2010-01-01,Hunts Point,Bronx,neighborhood,0
2010-01-01,Inwood,Manhattan,neighborhood,59
2010-01-01,Jackson Heights,Queens,neighborhood,63
2010-01-01,Jamaica,Queens,neighborhood,11
2010-01-01,Jamaica Estates,Queens,neighborhood,4
2010-01-01,Jamaica Hills,Queens,neighborhood,5
2010-01-01,Kensington,Brooklyn,neighborhood,63
2010-01-01,Kew Gardens,Queens,neighborhood,22
2010-01-01,Kew Gardens Hills,Queens,neighborhood,23
2010-01-01,Kingsbridge,Bronx,neighborhood,8
2010-01-01,Laconia,Bronx,neighborhood,4
2010-01-01,Laurelton,Queens,neighborhood,5
2010-01-01,Little Italy,Manhattan,neighborhood,7
2010-01-01,Little Neck,Queens,neighborhood,15
2010-01-01,Long Island City,Queens,neighborhood,147
2010-01-01,Longwood,Bronx,neighborhood,1
2010-01-01,Lower East Side,Manhattan,neighborhood,104
2010-01-01,Manhattan,Manhattan,borough,10015
2010-01-01,Manhattan Beach,Brooklyn,neighborhood,0
2010-01-01,Marble Hill,Manhattan,neighborhood,1
2010-01-01,Marine Park,Brooklyn,neighborhood,4
2010-01-01,Maspeth,Queens,neighborhood,8
2010-01-01,Melrose,Bronx,neighborhood,0
2010-01-01,Middle Village,Queens,neighborhood,6
2010-01-01,Midtown,Manhattan,neighborhood,310
2010-01-01,Midtown East,Manhattan,neighborhood,1258
2010-01-01,Midtown South,Manhattan,neighborhood,95
2010-01-01,Midtown West,Manhattan,neighborhood,454
2010-01-01,Midwood,Brooklyn,neighborhood,49
2010-01-01,Mill Basin,Brooklyn,neighborhood,22
2010-01-01,Morningside Heights,Manhattan,neighborhood,57
2010-01-01,Morris Heights,Bronx,neighborhood,0
2010-01-01,Morris Park,Bronx,neighborhood,22
2010-01-01,Morrisania,Bronx,neighborhood,2
2010-01-01,Mott Haven,Bronx,neighborhood,6
2010-01-01,NYC,,city,14699
2010-01-01,New Hyde Park,Queens,neighborhood,1
2010-01-01,Nolita,Manhattan,neighborhood,35
2010-01-01,North Brooklyn,Brooklyn,submarket,554
