variable,areaName,Borough,areaType,value
2010-01-01,All Downtown,Manhattan,submarket,3200.0
2010-01-01,All Midtown,Manhattan,submarket,2875.0
2010-01-01,All Upper East Side,Manhattan,submarket,2460.0
2010-01-01,All Upper Manhattan,Manhattan,submarket,1836.0
2010-01-01,All Upper West Side,Manhattan,submarket,2895.0
2010-01-01,Astoria,Queens,neighborhood,1600.0
2010-01-01,Auburndale,Queens,neighborhood,
2010-01-01,Bath Beach,Brooklyn,neighborhood,
2010-01-01,Battery Park City,Manhattan,neighborhood,3495.0
2010-01-01,Bay Ridge,Brooklyn,neighborhood,1350.0
2010-01-01,Baychester,Bronx,neighborhood,
2010-01-01,Bayside,Queens,neighborhood,1775.0
2010-01-01,Bedford Park,Bronx,neighborhood,
2010-01-01,Bedford-Stuyvesant,Brooklyn,neighborhood,1650.0
2010-01-01,Bellerose,Queens,neighborhood,
2010-01-01,Belmont,Bronx,neighborhood,
2010-01-01,Bensonhurst,Brooklyn,neighborhood,
2010-01-01,Bergen Beach,Brooklyn,neighborhood,
2010-01-01,Boerum Hill,Brooklyn,neighborhood,2600.0
2010-01-01,Borough Park,Brooklyn,neighborhood,
2010-01-01,Briarwood,Queens,neighborhood,
2010-01-01,Brighton Beach,Brooklyn,neighborhood,
2010-01-01,Bronx,Bronx,borough,1600.0
2010-01-01,Bronxwood,Bronx,neighborhood,
2010-01-01,Brooklyn,Brooklyn,borough,2200.0
2010-01-01,Brooklyn Heights,Brooklyn,neighborhood,2350.0
2010-01-01,Brookville,Queens,neighborhood,
2010-01-01,Brownsville,Brooklyn,neighborhood,
2010-01-01,Bushwick,Brooklyn,neighborhood,1599.0
2010-01-01,Cambria Heights,Queens,neighborhood,
2010-01-01,Canarsie,Brooklyn,neighborhood,
2010-01-01,Carroll Gardens,Brooklyn,neighborhood,2275.0
2010-01-01,Castle Hill,Bronx,neighborhood,
2010-01-01,Central Harlem,Manhattan,neighborhood,1950.0
2010-01-01,Central Park South,Manhattan,neighborhood,6000.0
2010-01-01,Central Queens,Queens,submarket,1500.0
2010-01-01,Chelsea,Manhattan,neighborhood,3200.0
2010-01-01,Chinatown,Manhattan,neighborhood,2900.0
2010-01-01,City Island,Bronx,neighborhood,
2010-01-01,Civic Center,Manhattan,neighborhood,
2010-01-01,Clearview,Queens,neighborhood,
2010-01-01,Clinton Hill,Brooklyn,neighborhood,2085.0
2010-01-01,Co-op City,Bronx,neighborhood,
2010-01-01,Cobble Hill,Brooklyn,neighborhood,1900.0
2010-01-01,College Point,Queens,neighborhood,
2010-01-01,Columbia St Waterfront District,Brooklyn,neighborhood,2000.0
2010-01-01,Concourse,Bronx,neighborhood,
2010-01-01,Coney Island,Brooklyn,neighborhood,
2010-01-01,Corona,Queens,neighborhood,1100.0
2010-01-01,Country Club,Bronx,neighborhood,
2010-01-01,Crotona Park East,Bronx,neighborhood,
2010-01-01,Crown Heights,Brooklyn,neighborhood,2000.0
2010-01-01,DUMBO,Brooklyn,neighborhood,3275.0
2010-01-01,Ditmas Park,Brooklyn,neighborhood,1600.0
2010-01-01,Douglaston,Queens,neighborhood,
2010-01-01,Downtown Brooklyn,Brooklyn,neighborhood,2247.0
2010-01-01,Dyker Heights,Brooklyn,neighborhood,
2010-01-01,East Brooklyn,Brooklyn,submarket,1700.0
2010-01-01,East Elmhurst,Queens,neighborhood,
2010-01-01,East Flatbush,Brooklyn,neighborhood,2000.0
2010-01-01,East Harlem,Manhattan,neighborhood,1895.0
2010-01-01,East New York,Brooklyn,neighborhood,
2010-01-01,East Tremont,Bronx,neighborhood,
2010-01-01,East Village,Manhattan,neighborhood,2500.0
2010-01-01,Eastchester,Bronx,neighborhood,
2010-01-01,Edenwald,Bronx,neighborhood,
2010-01-01,Elmhurst,Queens,neighborhood,1113.0
2010-01-01,Financial District,Manhattan,neighborhood,3198.0
2010-01-01,Flatbush,Brooklyn,neighborhood,
2010-01-01,Flatiron,Manhattan,neighborhood,3895.0
2010-01-01,Flatlands,Brooklyn,neighborhood,
2010-01-01,Floral Park,Queens,neighborhood,
2010-01-01,Flushing,Queens,neighborhood,1575.0
2010-01-01,Fordham,Bronx,neighborhood,
2010-01-01,Forest Hills,Queens,neighborhood,2000.0
2010-01-01,Fort Greene,Brooklyn,neighborhood,2470.0
2010-01-01,Fresh Meadows,Queens,neighborhood,
2010-01-01,Gerritsen Beach,Brooklyn,neighborhood,
2010-01-01,Glen Oaks,Queens,neighborhood,
2010-01-01,Glendale,Queens,neighborhood,
2010-01-01,Gowanus,Brooklyn,neighborhood,
2010-01-01,Gramercy Park,Manhattan,neighborhood,3100.0
2010-01-01,Gravesend,Brooklyn,neighborhood,
2010-01-01,Greenpoint,Brooklyn,neighborhood,2300.0
2010-01-01,Greenwich Village,Manhattan,neighborhood,3200.0
2010-01-01,Greenwood,Brooklyn,neighborhood,1775.0
2010-01-01,Hamilton Heights,Manhattan,neighborhood,1650.0
2010-01-01,Highbridge,Bronx,neighborhood,
2010-01-01,Hillcrest,Queens,neighborhood,
2010-01-01,Hollis,Queens,neighborhood,
2010-01-01,Howard Beach,Queens,neighborhood,
2010-01-01,Hunts Point,Bronx,neighborhood,
2010-01-01,Inwood,Manhattan,neighborhood,1400.0
2010-01-01,Jackson Heights,Queens,neighborhood,1250.0
2010-01-01,Jamaica,Queens,neighborhood,
2010-01-01,Jamaica Estates,Queens,neighborhood,
2010-01-01,Jamaica Hills,Queens,neighborhood,
2010-01-01,Kensington,Brooklyn,neighborhood,1800.0
2010-01-01,Kew Gardens,Queens,neighborhood,1500.0
2010-01-01,Kew Gardens Hills,Queens,neighborhood,
2010-01-01,Kingsbridge,Bronx,neighborhood,1184.0
2010-01-01,Laconia,Bronx,neighborhood,
2010-01-01,Laurelton,Queens,neighborhood,
2010-01-01,Little Italy,Manhattan,neighborhood,3295.0
2010-01-01,Little Neck,Queens,neighborhood,
2010-01-01,Long Island City,Queens,neighborhood,2325.0
2010-01-01,Longwood,Bronx,neighborhood,
