DATE,LAUST360000000000003A
1976-01-01,10.2
1977-01-01,9.1
1978-01-01,7.8
1979-01-01,7.2
1980-01-01,7.5
1981-01-01,7.6
1982-01-01,8.5
1983-01-01,8.7
1984-01-01,7.2
1985-01-01,6.6
1986-01-01,6.2
1987-01-01,4.9
1988-01-01,4.3
1989-01-01,5.0
1990-01-01,5.3
1991-01-01,7.2
1992-01-01,8.6
1993-01-01,7.9
1994-01-01,6.9
1995-01-01,6.3
1996-01-01,6.2
1997-01-01,6.4
1998-01-01,5.6
1999-01-01,5.2
2000-01-01,4.5
2001-01-01,4.8
2002-01-01,6.1
2003-01-01,6.4
2004-01-01,5.8
2005-01-01,5.0
2006-01-01,4.5
2007-01-01,4.6
2008-01-01,5.4
2009-01-01,8.3
2010-01-01,8.6
2011-01-01,8.3
2012-01-01,8.5
2013-01-01,7.7
2014-01-01,6.3
2015-01-01,5.3
2016-01-01,4.9
2017-01-01,4.7
2018-01-01,4.1
2019-01-01,4.0
