Month,Brooklyn,Manhattan,NYC,Queens
2007-01-01,,2532.000,2183.000,
2007-02-01,,2449.000,2127.000,
2007-03-01,,2462.000,2146.000,
2007-04-01,,2494.000,2163.000,
2007-05-01,,2524.000,2188.000,
2007-06-01,,2545.000,2206.000,
2007-07-01,,2585.000,2240.000,
2007-08-01,,2621.000,2268.000,
2007-09-01,,2639.000,2288.000,
2007-10-01,,2646.000,2297.000,
2007-11-01,,2667.000,2311.000,
2007-12-01,,2675.000,2317.000,
2008-01-01,,2676.000,2315.000,
2008-02-01,,2673.000,2317.000,
2008-03-01,,2680.000,2324.000,
2008-04-01,,2679.000,2325.000,
2008-05-01,,2681.000,2325.000,
2008-06-01,,2681.000,2326.000,
2008-07-01,,2682.000,2328.000,
2008-08-01,,2682.000,2330.000,
2008-09-01,,2670.000,2320.000,
2008-10-01,,2643.000,2297.000,
2008-11-01,,2614.000,2273.000,
2008-12-01,,2577.000,2241.000,
2009-01-01,,2542.000,2212.000,
2009-02-01,,2509.000,2185.000,
2009-03-01,,2481.000,2162.000,
2009-04-01,,2455.000,2140.000,
2009-05-01,,2437.000,2125.000,
2009-06-01,,2427.000,2116.000,
2009-07-01,,2428.000,2117.000,
2009-08-01,,2423.000,2114.000,
2009-09-01,,2423.000,2114.000,
2009-10-01,,2417.000,2109.000,
2009-11-01,,2405.000,2099.000,
2009-12-01,,2398.000,2094.000,
2010-01-01,1845.000,2404.000,2097.000,
2010-02-01,1836.000,2410.000,2102.000,
2010-03-01,1845.000,2413.000,2105.000,
2010-04-01,1853.000,2421.000,2111.000,
2010-05-01,1871.000,2433.000,2122.000,
2010-06-01,1888.000,2448.000,2135.000,
2010-07-01,1892.000,2464.000,2150.000,
2010-08-01,1902.000,2479.000,2163.000,
2010-09-01,1905.000,2495.000,2176.000,
2010-10-01,1919.000,2506.000,2186.000,
2010-11-01,1911.000,2513.000,2191.000,
2010-12-01,1931.000,2520.000,2199.000,
2011-01-01,1933.000,2533.000,2208.000,
2011-02-01,1939.000,2544.000,2218.000,
2011-03-01,1936.000,2558.000,2229.000,
2011-04-01,1956.000,2576.000,2245.000,
2011-05-01,1974.000,2589.000,2257.000,
2011-06-01,1988.000,2607.000,2273.000,
2011-07-01,2002.000,2627.000,2290.000,
2011-08-01,2018.000,2643.000,2304.000,
2011-09-01,2028.000,2657.000,2317.000,
2011-10-01,2041.000,2671.000,2329.000,
2011-11-01,2049.000,2676.000,2334.000,
2011-12-01,2050.000,2680.000,2337.000,
2012-01-01,2052.000,2687.000,2343.000,1740.000
2012-02-01,2062.000,2696.000,2350.000,1782.000
2012-03-01,2066.000,2710.000,2362.000,1790.000
2012-04-01,2086.000,2724.000,2374.000,1784.000
2012-05-01,2098.000,2742.000,2390.000,1801.000
2012-06-01,2111.000,2754.000,2401.000,1793.000
2012-07-01,2127.000,2770.000,2416.000,1801.000
2012-08-01,2140.000,2783.000,2427.000,1792.000
2012-09-01,2150.000,2792.000,2435.000,1804.000
2012-10-01,2163.000,2798.000,2441.000,1806.000
2012-11-01,2181.000,2803.000,2447.000,1818.000
2012-12-01,2193.000,2804.000,2450.000,1819.000
2013-01-01,2197.000,2807.000,2453.000,1826.000
2013-02-01,2202.000,2817.000,2461.000,1824.000
2013-03-01,2207.000,2823.000,2467.000,1825.000
2013-04-01,2221.000,2833.000,2476.000,1828.000
2013-05-01,2238.000,2849.000,2491.000,1843.000
2013-06-01,2255.000,2861.000,2503.000,1850.000
2013-07-01,2274.000,2874.000,2515.000,1867.000
2013-08-01,2288.000,2884.000,2525.000,1874.000
2013-09-01,2295.000,2893.000,2534.000,1884.000
2013-10-01,2305.000,2899.000,2538.000,1882.000
2013-11-01,2305.000,2898.000,2536.000,1880.000
2013-12-01,2305.000,2893.000,2532.000,1874.000
2014-01-01,2306.000,2896.000,2535.000,1878.000
2014-02-01,2312.000,2900.000,2539.000,1881.000
2014-03-01,2312.000,2907.000,2545.000,1885.000
2014-04-01,2326.000,2923.000,2558.000,1897.000
2014-05-01,2343.000,2942.000,2575.000,1904.000
2014-06-01,2357.000,2955.000,2587.000,1910.000
2014-07-01,2369.000,2968.000,2599.000,1926.000
2014-08-01,2384.000,2983.000,2614.000,1937.000
2014-09-01,2391.000,2989.000,2620.000,1951.000
2014-10-01,2391.000,2994.000,2624.000,1957.000
2014-11-01,2393.000,2993.000,2625.000,1961.000
2014-12-01,2395.000,2994.000,2626.000,1966.000
2015-01-01,2404.000,2999.000,2633.000,1979.000
2015-02-01,2410.000,3010.000,2641.000,1987.000
2015-03-01,2416.000,3022.000,2650.000,1988.000
